Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Rating,Payment,Date,Time,cogs,gross margin percentage,gross income
387-49-4215,B,Mandalay,Member,Female,Sports and travel,48.5,3,7.275,152.775,6.7,Cash,01/08/2019,12:50:00 p. m.,145.5,4.761904762,7.275
674-15-9296,A,Yangon,Normal,Male,Sports and travel,37.14,5,9.285,$194.99,5,Ewallet,01/08/2019,01:05:00 p. m.,185.7,4.761904762,9.285
767-97-4650,B,Mandalay,Member,Female,Sports and travel,64.83,2,6.483,$136.14,8,Credit card,01/08/2019,11:59:00 a. m.,129.66,4.761904762,6.483
840-76-5966,A,Yangon,Member,Male,Sports and travel,12.76,2,1.276,$26.80,7.8,Ewallet,01/08/2019,06:06:00 p. m.,25.52,4.761904762,1.276
560-49-6611,A,Yangon,Member,Female,Sports and travel,45.58,1,2.279,47.859,9.8,Cash,02/07/2019,02:13:00 p. m.,45.58,4.761904762,2.279
784-21-9238,C,Naypyitaw,Member,Male,Sports and travel,10.17,1,0.5085,$10.68,5.9,Cash,02/07/2019,02:15:00 p. m.,10.17,4.761904762,0.5085
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,$71.53,6.8,Ewallet,01/07/2019,12:28:00 p. m.,68.12,4.761904762,3.406
541-48-8554,A,Yangon,Normal,Male,Sports and travel,60.95,9,27.4275,$575.98,6,Credit card,01/07/2019,12:08:00 p. m.,548.55,4.761904762,27.4275
149-15-7606,B,Mandalay,Member,Male,Sports and travel,37.32,9,16.794,$352.67,5.1,Ewallet,03/06/2019,03:31:00 p. m.,335.88,4.761904762,16.794
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,$166.01,8.6,Credit card,03/06/2019,12:27:00 p. m.,158.1,4.761904762,7.905
783-09-1637,B,Mandalay,Normal,Female,Sports and travel,67.43,5,16.8575,$354.01,6.3,Ewallet,03/06/2019,06:13:00 p. m.,337.15,4.761904762,16.8575
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,8.3,Cash,03/06/2019,08:34:00 p. m.,552.78,4.761904762,27.639
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,6.5,Cash,01/06/2019,11:09:00 a. m.,15.34,4.761904762,0.767
852-82-2749,A,Yangon,Normal,Male,Sports and travel,64.59,4,12.918,$271.28,9.3,Ewallet,01/06/2019,01:35:00 p. m.,258.36,4.761904762,12.918
174-64-0215,B,Mandalay,Normal,Male,Sports and travel,69.74,10,34.87,$732.27,8.9,Credit card,03/05/2019,05:49:00 p. m.,697.4,4.761904762,34.87
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,$610.49,4,Ewallet,03/05/2019,02:31:00 p. m.,581.42,4.761904762,29.071
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,$34.63,4.6,Ewallet,02/05/2019,11:32:00 a. m.,32.98,4.761904762,1.649
880-35-0356,A,Yangon,Member,Female,Sports and travel,75.2,3,11.28,$236.88,4.8,Ewallet,02/05/2019,11:51:00 a. m.,225.6,4.761904762,11.28
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,$90.70,6.7,Credit card,03/04/2019,11:19:00 a. m.,86.38,4.761904762,4.319
695-28-6250,A,Yangon,Normal,Female,Sports and travel,43.06,5,10.765,$226.07,7.7,Ewallet,02/04/2019,04:38:00 p. m.,215.3,4.761904762,10.765
656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,$146.22,4.4,Credit card,01/04/2019,01:24:00 p. m.,139.26,4.761904762,6.963
286-01-5402,A,Yangon,Normal,Female,Sports and travel,40.23,7,14.0805,295.6905,9.6,Cash,30/03/2019,01:22:00 p. m.,281.61,4.761904762,14.0805
361-85-2571,A,Yangon,Normal,Female,Sports and travel,89.48,5,22.37,469.77,7.4,Cash,30/03/2019,10:18:00 a. m.,447.4,4.761904762,22.37
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,$588.36,10,Ewallet,27/03/2019,07:18:00 p. m.,560.34,4.761904762,28.017
449-27-2918,B,Mandalay,Member,Female,Sports and travel,39.12,1,1.956,$41.08,9.6,Credit card,26/03/2019,11:02:00 a. m.,39.12,4.761904762,1.956
282-35-2475,B,Mandalay,Normal,Female,Sports and travel,93.31,2,9.331,195.951,6.3,Cash,25/03/2019,05:53:00 p. m.,186.62,4.761904762,9.331
560-30-5617,B,Mandalay,Normal,Female,Sports and travel,24.77,5,6.1925,130.0425,8.5,Cash,24/03/2019,06:27:00 p. m.,123.85,4.761904762,6.1925
835-16-0096,C,Naypyitaw,Member,Male,Sports and travel,14.7,5,3.675,$77.18,8.5,Ewallet,24/03/2019,01:48:00 p. m.,73.5,4.761904762,3.675
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,$162.75,8,Ewallet,23/03/2019,10:55:00 a. m.,155,4.761904762,7.75
394-30-3170,B,Mandalay,Member,Female,Sports and travel,88.43,8,35.372,$742.81,4.3,Credit card,22/03/2019,07:35:00 p. m.,707.44,4.761904762,35.372
550-84-8664,A,Yangon,Normal,Male,Sports and travel,85.91,5,21.4775,$451.03,8.6,Credit card,22/03/2019,02:33:00 p. m.,429.55,4.761904762,21.4775
554-53-3790,B,Mandalay,Normal,Male,Sports and travel,37.02,6,11.106,$233.23,4.5,Cash,22/03/2019,06:33:00 p. m.,222.12,4.761904762,11.106
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,$391.42,7.4,Cash,22/03/2019,08:19:00 p. m.,372.78,4.761904762,18.639
438-01-4015,B,Mandalay,Member,Female,Sports and travel,49.49,4,9.898,$207.86,6.6,Ewallet,21/03/2019,03:25:00 p. m.,197.96,4.761904762,9.898
102-06-2002,C,Naypyitaw,Member,Male,Sports and travel,25.25,5,6.3125,$132.56,6.1,Cash,20/03/2019,05:52:00 p. m.,126.25,4.761904762,6.3125
509-29-3912,A,Yangon,Member,Female,Sports and travel,38.72,9,17.424,$365.90,4.2,Ewallet,20/03/2019,12:24:00 p. m.,348.48,4.761904762,17.424
632-32-4574,B,Mandalay,Normal,Male,Sports and travel,75.92,8,30.368,$637.73,5.5,Cash,20/03/2019,02:14:00 p. m.,607.36,4.761904762,30.368
828-61-5674,A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,$462.21,9.6,Credit card,20/03/2019,07:57:00 p. m.,440.2,4.761904762,22.01
751-69-0068,C,Naypyitaw,Normal,Male,Sports and travel,99.24,9,44.658,$937.82,9,Ewallet,19/03/2019,07:09:00 p. m.,893.16,4.761904762,44.658
485-30-8700,A,Yangon,Normal,Female,Sports and travel,33.26,5,8.315,$174.62,4.2,Credit card,18/03/2019,04:10:00 p. m.,166.3,4.761904762,8.315
642-30-6693,B,Mandalay,Normal,Female,Sports and travel,54.51,6,16.353,$343.41,7.8,Ewallet,17/03/2019,01:54:00 p. m.,327.06,4.761904762,16.353
880-46-5796,A,Yangon,Member,Male,Sports and travel,76.92,10,38.46,$807.66,5.6,Ewallet,17/03/2019,07:53:00 p. m.,769.2,4.761904762,38.46
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29,$609.00,9.2,Ewallet,16/03/2019,07:25:00 p. m.,580,4.761904762,29
578-80-7669,B,Mandalay,Normal,Male,Sports and travel,74.97,1,3.7485,$78.72,5.6,Cash,16/03/2019,04:58:00 p. m.,74.97,4.761904762,3.7485
701-69-8742,B,Mandalay,Normal,Male,Sports and travel,34.37,10,17.185,$360.89,6.7,Ewallet,16/03/2019,10:11:00 a. m.,343.7,4.761904762,17.185
361-59-0574,B,Mandalay,Member,Male,Sports and travel,90.53,8,36.212,$760.45,6.5,Credit card,15/03/2019,02:48:00 p. m.,724.24,4.761904762,36.212
585-11-6748,B,Mandalay,Member,Male,Sports and travel,96.8,3,14.52,$304.92,5.3,Cash,15/03/2019,01:05:00 p. m.,290.4,4.761904762,14.52
139-32-4183,A,Yangon,Member,Female,Sports and travel,97.48,9,43.866,$921.19,7.4,Ewallet,14/03/2019,02:19:00 p. m.,877.32,4.761904762,43.866
457-12-0244,C,Naypyitaw,Member,Female,Sports and travel,35.22,6,10.566,$221.89,6.5,Ewallet,14/03/2019,01:49:00 p. m.,211.32,4.761904762,10.566
722-13-2115,C,Naypyitaw,Member,Male,Sports and travel,42.85,1,2.1425,$44.99,9.3,Credit card,14/03/2019,03:36:00 p. m.,42.85,4.761904762,2.1425
173-57-2300,C,Naypyitaw,Member,Male,Sports and travel,72.88,2,7.288,$153.05,6.1,Cash,13/03/2019,12:51:00 p. m.,145.76,4.761904762,7.288
277-63-2961,B,Mandalay,Member,Male,Sports and travel,73.97,1,3.6985,$77.67,5.4,Credit card,02/03/2019,03:53:00 p. m.,73.97,4.761904762,3.6985
322-02-2271,B,Mandalay,Normal,Female,Sports and travel,42.97,3,6.4455,135.3555,9.3,Cash,02/03/2019,11:46:00 a. m.,128.91,4.761904762,6.4455
326-71-2155,C,Naypyitaw,Normal,Female,Sports and travel,73.95,4,14.79,310.59,6.1,Cash,02/03/2019,10:02:00 a. m.,295.8,4.761904762,14.79
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,$520.41,10,Ewallet,02/03/2019,01:40:00 p. m.,495.63,4.761904762,24.7815
718-57-9773,C,Naypyitaw,Normal,Female,Sports and travel,49.33,10,24.665,$517.97,9.4,Credit card,02/03/2019,04:40:00 p. m.,493.3,4.761904762,24.665
875-31-8302,B,Mandalay,Normal,Male,Sports and travel,93.38,1,4.669,$98.05,9.6,Cash,01/03/2019,01:07:00 p. m.,93.38,4.761904762,4.669
741-73-3559,B,Mandalay,Normal,Male,Sports and travel,67.27,5,16.8175,$353.17,6.9,Cash,27/02/2019,05:27:00 p. m.,336.35,4.761904762,16.8175
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1,2.7225,$57.17,7.9,Ewallet,26/02/2019,07:24:00 p. m.,54.45,4.761904762,2.7225
707-32-7409,B,Mandalay,Member,Female,Sports and travel,95.54,4,19.108,$401.27,4.5,Ewallet,26/02/2019,11:58:00 a. m.,382.16,4.761904762,19.108
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,$66.87,6,Cash,25/02/2019,04:21:00 p. m.,63.69,4.761904762,3.1845
511-54-3087,B,Mandalay,Normal,Male,Sports and travel,88.45,1,4.4225,$92.87,9.5,Credit card,25/02/2019,04:36:00 p. m.,88.45,4.761904762,4.4225
719-89-8991,A,Yangon,Member,Female,Sports and travel,91.41,5,22.8525,$479.90,7.1,Ewallet,25/02/2019,04:03:00 p. m.,457.05,4.761904762,22.8525
692-27-8933,B,Mandalay,Normal,Female,Sports and travel,57.95,6,17.385,365.085,5.2,Cash,24/02/2019,01:02:00 p. m.,347.7,4.761904762,17.385
503-07-0930,C,Naypyitaw,Member,Male,Sports and travel,58.39,7,20.4365,$429.17,8.2,Credit card,23/02/2019,07:49:00 p. m.,408.73,4.761904762,20.4365
743-88-1662,C,Naypyitaw,Normal,Male,Sports and travel,95.49,7,33.4215,$701.85,8.7,Ewallet,22/02/2019,06:17:00 p. m.,668.43,4.761904762,33.4215
864-24-7918,A,Yangon,Member,Female,Sports and travel,24.49,10,12.245,257.145,8.1,Cash,22/02/2019,03:15:00 p. m.,244.9,4.761904762,12.245
714-02-3114,C,Naypyitaw,Normal,Female,Sports and travel,98.8,2,9.88,207.48,7.7,Cash,21/02/2019,11:39:00 a. m.,197.6,4.761904762,9.88
311-13-6971,B,Mandalay,Member,Male,Sports and travel,31.99,10,15.995,$335.90,9.9,Credit card,20/02/2019,03:18:00 p. m.,319.9,4.761904762,15.995
752-23-3760,B,Mandalay,Member,Female,Sports and travel,64.08,7,22.428,$470.99,7.3,Credit card,19/02/2019,07:29:00 p. m.,448.56,4.761904762,22.428
123-35-4896,C,Naypyitaw,Normal,Female,Sports and travel,46.66,9,20.997,$440.94,5.3,Ewallet,17/02/2019,07:11:00 p. m.,419.94,4.761904762,20.997
201-63-8275,C,Naypyitaw,Member,Female,Sports and travel,67.99,7,23.7965,$499.73,5.7,Ewallet,17/02/2019,04:50:00 p. m.,475.93,4.761904762,23.7965
827-77-7633,A,Yangon,Normal,Male,Sports and travel,98.09,9,44.1405,$926.95,9.3,Cash,17/02/2019,07:41:00 p. m.,882.81,4.761904762,44.1405
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,$545.06,8.2,Cash,16/02/2019,12:21:00 p. m.,519.1,4.761904762,25.955
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,$77.93,10,Credit card,15/02/2019,05:47:00 p. m.,74.22,4.761904762,3.711
321-49-7382,B,Mandalay,Member,Male,Sports and travel,88.31,1,4.4155,$92.73,5.2,Credit card,15/02/2019,05:38:00 p. m.,88.31,4.761904762,4.4155
109-86-4363,B,Mandalay,Member,Female,Sports and travel,60.08,7,21.028,$441.59,4.5,Credit card,14/02/2019,11:36:00 a. m.,420.56,4.761904762,21.028
150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,$140.65,6.2,Cash,14/02/2019,03:04:00 p. m.,133.95,4.761904762,6.6975
173-50-1108,B,Mandalay,Member,Female,Sports and travel,20.18,4,4.036,$84.76,5,Credit card,13/02/2019,12:14:00 p. m.,80.72,4.761904762,4.036
388-76-2555,B,Mandalay,Normal,Male,Sports and travel,13.69,6,4.107,$86.25,6.3,Cash,13/02/2019,01:59:00 p. m.,82.14,4.761904762,4.107
408-26-9866,C,Naypyitaw,Normal,Female,Sports and travel,73.98,7,25.893,$543.75,4.1,Ewallet,03/02/2019,04:42:00 p. m.,517.86,4.761904762,25.893
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,$279.18,6,Ewallet,03/02/2019,05:36:00 p. m.,265.89,4.761904762,13.2945
825-94-5922,B,Mandalay,Normal,Male,Sports and travel,25.31,2,2.531,$53.15,7.2,Ewallet,03/02/2019,07:26:00 p. m.,50.62,4.761904762,2.531
860-73-6466,A,Yangon,Member,Female,Sports and travel,39.47,2,3.947,$82.89,5,Credit card,03/02/2019,04:16:00 p. m.,78.94,4.761904762,3.947
878-30-2331,C,Naypyitaw,Member,Female,Sports and travel,54.55,10,27.275,$572.78,7.1,Credit card,03/02/2019,11:22:00 a. m.,545.5,4.761904762,27.275
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.439,$30.22,7.2,Credit card,03/02/2019,07:44:00 p. m.,28.78,4.761904762,1.439
420-18-8989,A,Yangon,Member,Female,Sports and travel,51.52,8,20.608,432.768,9.6,Cash,02/02/2019,03:47:00 p. m.,412.16,4.761904762,20.608
345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,31.67,8,12.668,$266.03,5.6,Credit card,01/02/2019,04:19:00 p. m.,253.36,4.761904762,12.668
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,$44.59,5.7,Cash,01/02/2019,04:57:00 p. m.,42.47,4.761904762,2.1235
670-71-7306,B,Mandalay,Normal,Male,Sports and travel,44.63,6,13.389,$281.17,5.1,Credit card,01/02/2019,08:08:00 p. m.,267.78,4.761904762,13.389
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.6875,224.4375,9.5,Cash,31/01/2019,12:02:00 p. m.,213.75,4.761904762,10.6875
525-88-7307,B,Mandalay,Member,Male,Sports and travel,75.82,1,3.791,$79.61,5.8,Cash,31/01/2019,01:19:00 p. m.,75.82,4.761904762,3.791
532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93,6,23.979,$503.56,5.5,Cash,31/01/2019,02:04:00 p. m.,479.58,4.761904762,23.979
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,$160.44,6.5,Ewallet,30/01/2019,07:42:00 p. m.,152.8,4.761904762,7.64
862-29-5914,C,Naypyitaw,Normal,Female,Sports and travel,22.38,1,1.119,$23.50,8.6,Credit card,30/01/2019,05:08:00 p. m.,22.38,4.761904762,1.119
343-61-3544,B,Mandalay,Member,Male,Sports and travel,26.67,10,13.335,$280.04,8.6,Cash,29/01/2019,11:48:00 a. m.,266.7,4.761904762,13.335
569-76-2760,A,Yangon,Member,Female,Sports and travel,22.01,4,4.402,$92.44,6.6,Credit card,29/01/2019,06:15:00 p. m.,88.04,4.761904762,4.402
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,$120.65,6.8,Credit card,29/01/2019,10:01:00 a. m.,114.9,4.761904762,5.745
816-72-8853,A,Yangon,Member,Female,Sports and travel,27.93,5,6.9825,146.6325,5.9,Cash,29/01/2019,03:48:00 p. m.,139.65,4.761904762,6.9825
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,$737.76,4.5,Cash,28/01/2019,12:43:00 p. m.,702.63,4.761904762,35.1315
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,9.3,Cash,28/01/2019,01:05:00 p. m.,647.76,4.761904762,32.388
613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel,14.36,10,7.18,150.78,5.4,Cash,27/01/2019,02:28:00 p. m.,143.6,4.761904762,7.18
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,9,Cash,27/01/2019,01:26:00 p. m.,161.25,4.761904762,8.0625
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,$471.03,8.2,Ewallet,26/01/2019,07:54:00 p. m.,448.6,4.761904762,22.43
539-21-7227,B,Mandalay,Normal,Female,Sports and travel,51.54,5,12.885,270.585,4.2,Cash,26/01/2019,05:45:00 p. m.,257.7,4.761904762,12.885
340-21-9136,A,Yangon,Member,Female,Sports and travel,40.05,4,8.01,168.21,9.7,Cash,25/01/2019,11:40:00 a. m.,160.2,4.761904762,8.01
394-55-6384,C,Naypyitaw,Member,Female,Sports and travel,70.19,9,31.5855,663.2955,6.7,Cash,25/01/2019,01:38:00 p. m.,631.71,4.761904762,31.5855
569-71-4390,B,Mandalay,Normal,Male,Sports and travel,21.87,2,2.187,$45.93,6.9,Ewallet,25/01/2019,02:29:00 p. m.,43.74,4.761904762,2.187
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,$827.09,6.4,Cash,24/01/2019,10:04:00 a. m.,787.7,4.761904762,39.385
510-79-0415,B,Mandalay,Member,Female,Sports and travel,23.08,6,6.924,$145.40,4.9,Ewallet,24/01/2019,07:20:00 p. m.,138.48,4.761904762,6.924
602-16-6955,B,Mandalay,Normal,Female,Sports and travel,76.6,10,38.3,$804.30,6,Ewallet,24/01/2019,06:10:00 p. m.,766,4.761904762,38.3
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,$942.90,5.4,Credit card,23/01/2019,01:00:00 p. m.,898,4.761904762,44.9
401-18-8016,B,Mandalay,Member,Female,Sports and travel,98.13,1,4.9065,103.0365,8.9,Cash,21/01/2019,05:36:00 p. m.,98.13,4.761904762,4.9065
257-73-1380,C,Naypyitaw,Member,Male,Sports and travel,82.93,4,16.586,$348.31,9.6,Ewallet,20/01/2019,04:51:00 p. m.,331.72,4.761904762,16.586
645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,9.314,$195.59,4.1,Ewallet,20/01/2019,06:09:00 p. m.,186.28,4.761904762,9.314
149-61-1929,A,Yangon,Normal,Male,Sports and travel,64.19,10,32.095,$674.00,6.7,Credit card,19/01/2019,02:08:00 p. m.,641.9,4.761904762,32.095
284-54-4231,C,Naypyitaw,Member,Male,Sports and travel,80.93,1,4.0465,$84.98,9,Credit card,19/01/2019,04:08:00 p. m.,80.93,4.761904762,4.0465
375-72-3056,B,Mandalay,Normal,Male,Sports and travel,63.06,3,9.459,$198.64,7,Ewallet,19/01/2019,03:58:00 p. m.,189.18,4.761904762,9.459
882-40-4577,A,Yangon,Member,Male,Sports and travel,67.26,4,13.452,$282.49,8,Credit card,19/01/2019,03:28:00 p. m.,269.04,4.761904762,13.452
166-19-2553,A,Yangon,Member,Male,Sports and travel,89.06,6,26.718,$561.08,9.9,Cash,18/01/2019,05:26:00 p. m.,534.36,4.761904762,26.718
678-79-0726,C,Naypyitaw,Member,Female,Sports and travel,90.63,9,40.7835,856.4535,5.1,Cash,18/01/2019,03:28:00 p. m.,815.67,4.761904762,40.7835
445-30-9252,A,Yangon,Normal,Male,Sports and travel,25.7,3,3.855,$80.96,6.1,Ewallet,17/01/2019,05:59:00 p. m.,77.1,4.761904762,3.855
497-37-6538,A,Yangon,Normal,Male,Sports and travel,58.91,7,20.6185,$432.99,9.7,Ewallet,17/01/2019,03:15:00 p. m.,412.37,4.761904762,20.6185
600-38-9738,C,Naypyitaw,Member,Male,Sports and travel,71.92,5,17.98,$377.58,4.3,Credit card,17/01/2019,03:05:00 p. m.,359.6,4.761904762,17.98
679-22-6530,B,Mandalay,Normal,Female,Sports and travel,40.62,2,4.062,$85.30,4.1,Credit card,17/01/2019,10:01:00 a. m.,81.24,4.761904762,4.062
347-72-6115,B,Mandalay,Member,Female,Sports and travel,90.74,7,31.759,$666.94,6.2,Credit card,16/01/2019,06:03:00 p. m.,635.18,4.761904762,31.759
618-34-8551,A,Yangon,Normal,Female,Sports and travel,93.18,2,9.318,$195.68,8.5,Credit card,16/01/2019,06:41:00 p. m.,186.36,4.761904762,9.318
842-29-4695,C,Naypyitaw,Member,Male,Sports and travel,17.14,7,5.999,$125.98,7.9,Credit card,16/01/2019,12:07:00 p. m.,119.98,4.761904762,5.999
859-71-0933,C,Naypyitaw,Member,Female,Sports and travel,15.49,2,1.549,32.529,6.3,Cash,16/01/2019,03:10:00 p. m.,30.98,4.761904762,1.549
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,4.5,Cash,15/01/2019,04:19:00 p. m.,562.32,4.761904762,28.116
301-11-9629,A,Yangon,Normal,Female,Sports and travel,19.1,7,6.685,140.385,9.7,Cash,15/01/2019,10:43:00 a. m.,133.7,4.761904762,6.685
320-85-2052,B,Mandalay,Normal,Female,Sports and travel,34.81,1,1.7405,$36.55,7,Credit card,14/01/2019,10:11:00 a. m.,34.81,4.761904762,1.7405
327-40-9673,B,Mandalay,Member,Male,Sports and travel,72.6,6,21.78,$457.38,6.9,Cash,13/01/2019,07:51:00 p. m.,435.6,4.761904762,21.78
460-93-5834,A,Yangon,Normal,Male,Sports and travel,45.58,7,15.953,$335.01,5,Cash,13/01/2019,10:03:00 a. m.,319.06,4.761904762,15.953
105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,$510.97,8.5,Credit card,02/01/2019,03:10:00 p. m.,486.64,4.761904762,24.332
182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.408,$113.57,6.9,Ewallet,01/01/2019,08:26:00 p. m.,108.16,4.761904762,5.408
